Region,2013,2014,2015,2016,2017,2018,2019,2020,2021
Autonomous Republic of Crimea,53692,0,0,0,0,0,0,0,0
Vinnytsya,41067,48855,59478,71565,85875,104683,126650,134057,147486
Volyn,27002,31909,40405,45749,53782,65365,74044,78763,94536
Dnipropetrovsk,109127,127486,154424,179697,225791,271658,332979,349918,438827
Donetsk,139958,108762,74873,85268,102741,116696,140509,150167,174219
Zhytomyr,31826,37002,45869,54892,71365,86724,97423,100534,118550
Zakarpattya,27141,32057,39856,47061,61882,75368,85945,90112,106995
Zaporizhzhya,56055,64637,77780,92181,115968,142289,162883,166959,207710
Ivano-Frankivsk,36009,42692,51418,60988,69627,83876,98120,106157,122676
Kyiv,56520,66904,87615,100922,147551,179874,229758,240221,311613
Kirovohrad,24702,28863,36240,44138,53232,65497,73683,77041,92715
Luhansk,61201,36432,22942,27847,35486,39277,49395,51512,58548
Lviv,68075,77102,98334,118391,161920,200007,227561,238027,290164
Mykolayiv,32612,37524,45466,54197,64909,78615,90586,95588,114099
Odesa,86222,98609,118280,140752,178378,219938,244834,251448,317461
Poltava,39017,45428,56545,66889,88651,109575,127873,135218,160060
Rivne,28093,32735,40141,47146,57180,70651,79948,86486,98115
Sumy,27555,32620,39483,47901,60627,74282,84657,88126,104009
Ternopyl,23867,28275,34589,41463,49260,60957,68807,74083,85961
Kharkiv,97863,114267,139652,161225,203127,259421,287217,295419,351762
Kherson,27304,33119,41563,49162,62317,75566,82867,87658,102959
Khmelnytskiy,31131,36880,44720,54318,73019,89882,103125,106266,118796
Cherkasy,33864,38942,46780,55925,72818,88896,102766,109930,124024
Chernivtsi,20567,24640,30190,35738,49642,61722,66874,68816,79845
Chernihiv,26541,31237,38209,46324,58681,71864,79399,85454,101720
Kyiv city,211436,229011,276091,309001,417615,524500,638614,713311,933019
city Sevastopol,14020,0,0,0,0,0,0,0,0